E_lab	E*/MeV	191At	192At	BF=0.65	BF=0.65	195At	196At	197At
272.753	55	0.00E+00	9.47E-09	4.67E-05	1.59E-05	0.00E+00	0.00E+00	0.00E+00
274.15	56	0.00E+00	3.59E-08	3.84E-05	1.01E-05	0.00E+00	0.00E+00	0.00E+00
275.547	57	0.00E+00	1.07E-07	3.05E-05	6.42E-06	0.00E+00	0.00E+00	0.00E+00
276.945	58	0.00E+00	2.63E-07	2.36E-05	4.05E-06	0.00E+00	0.00E+00	0.00E+00
279.739	60	0.00E+00	1.02E-06	1.33E-05	1.59E-06	0.00E+00	0.00E+00	0.00E+00
279.739	60	0.00E+00	1.02E-06	1.33E-05	1.59E-06	0.00E+00	0.00E+00	0.00E+00
281.136	61	0.00E+00	1.66E-06	9.67E-06	9.94E-07	0.00E+00	0.00E+00	0.00E+00
282.533	62	0.00E+00	2.40E-06	6.95E-06	6.16E-07	0.00E+00	0.00E+00	0.00E+00
283.93	63	3.50E-12	3.15E-06	4.93E-06	3.79E-07	0.00E+00	0.00E+00	0.00E+00
285.327	64	2.57E-11	3.80E-06	3.47E-06	2.32E-07	0.00E+00	0.00E+00	0.00E+00
286.725	65	1.38E-10	4.27E-06	2.41E-06	1.38E-07	0.00E+00	0.00E+00	0.00E+00
288.122	66	5.68E-10	4.52E-06	1.66E-06	7.72E-08	0.00E+00	0.00E+00	0.00E+00
289.519	67	1.87E-09	4.54E-06	1.14E-06	4.23E-08	0.00E+00	0.00E+00	0.00E+00
290.916	68	5.05E-09	4.36E-06	7.75E-07	1.24E-08	0.00E+00	0.00E+00	0.00E+00
292.313	69	1.15E-08	4.04E-06	5.25E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
293.71	70	2.25E-08	3.62E-06	3.53E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
295.108	71	3.87E-08	3.15E-06	2.37E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
296.505	72	5.96E-08	2.67E-06	1.58E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
297.902	73	8.36E-08	2.22E-06	1.05E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
299.299	74	1.08E-07	1.81E-06	6.95E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
300.696	75	1.31E-07	1.45E-06	4.49E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
302.093	76	1.50E-07	1.15E-06	2.94E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
303.491	77	1.63E-07	8.96E-07	1.80E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
304.888	78	1.69E-07	6.90E-07	1.07E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
306.285	79	1.69E-07	5.26E-07	5.37E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
307.682	80	1.64E-07	3.98E-07	2.03E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
								
								
E_lab	E*/MeV	191At	192At	BF=0.68	BF=0.68	195At	196At	197At
223.852	20	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.89E-10	1.47E-06	6.46E-10
225.249	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.30E-08	4.33E-06	1.13E-09
226.647	22	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.15E-07	1.19E-05	1.71E-09
228.044	23	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.98E-06	3.06E-05	1.06E-09
229.441	24	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.22E-05	6.94E-05	0.00E+00
230.838	25	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.72E-04	1.26E-04	0.00E+00
232.235	26	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.13E-04	1.76E-04	0.00E+00
233.632	27	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.49E-03	1.97E-04	0.00E+00
235.03	28	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.52E-03	1.89E-04	0.00E+00
236.427	29	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.34E-03	1.62E-04	0.00E+00
237.824	30	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.72E-03	1.28E-04	0.00E+00
239.221	31	0.00E+00	0.00E+00	0.00E+00	2.85E-08	3.65E-03	9.39E-05	0.00E+00
240.618	32	0.00E+00	0.00E+00	0.00E+00	7.00E-07	3.25E-03	6.51E-05	0.00E+00
