  E*/MeV   191At     192At     193At     BF=0.63     BF=0.63     196At     197At  
    45.0 0.000E+00 0.000E+00 0.000E+00 0.134E-03 0.357E-02 0.200E-03 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.225E-03 0.263E-02 0.120E-03 0.000E+00
    47.0 0.000E+00 0.000E+00 0.384E-09 0.347E-03 0.189E-02 0.719E-04 0.000E+00
    48.0 0.000E+00 0.000E+00 0.260E-08 0.494E-03 0.133E-02 0.425E-04 0.000E+00
    49.0 0.000E+00 0.000E+00 0.137E-07 0.648E-03 0.914E-03 0.250E-04 0.000E+00
    50.0 0.000E+00 0.000E+00 0.588E-07 0.790E-03 0.620E-03 0.146E-04 0.000E+00
    51.0 0.000E+00 0.000E+00 0.210E-06 0.900E-03 0.415E-03 0.847E-05 0.000E+00
    52.0 0.000E+00 0.000E+00 0.634E-06 0.962E-03 0.275E-03 0.488E-05 0.000E+00
    53.0 0.000E+00 0.000E+00 0.165E-05 0.972E-03 0.180E-03 0.279E-05 0.000E+00
    54.0 0.000E+00 0.000E+00 0.378E-05 0.935E-03 0.117E-03 0.158E-05 0.000E+00
    55.0 0.000E+00 0.000E+00 0.764E-05 0.861E-03 0.755E-04 0.856E-06 0.000E+00
    56.0 0.000E+00 0.000E+00 0.138E-04 0.763E-03 0.484E-04 0.451E-06 0.000E+00
    57.0 0.000E+00 0.000E+00 0.225E-04 0.654E-03 0.308E-04 0.204E-06 0.000E+00
    58.0 0.000E+00 0.770E-10 0.335E-04 0.545E-03 0.195E-04 0.419E-07 0.000E+00
    60.0 0.000E+00 0.101E-08 0.578E-04 0.351E-03 0.768E-05 0.000E+00 0.000E+00
    60.0 0.000E+00 0.101E-08 0.578E-04 0.351E-03 0.768E-05 0.000E+00 0.000E+00
    61.0 0.000E+00 0.264E-08 0.684E-04 0.273E-03 0.477E-05 0.000E+00 0.000E+00
    62.0 0.000E+00 0.637E-08 0.762E-04 0.208E-03 0.295E-05 0.000E+00 0.000E+00
    63.0 0.000E+00 0.150E-07 0.808E-04 0.157E-03 0.181E-05 0.000E+00 0.000E+00
