     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

    45.0 0.682E-10 0.518E-07 0.426E-07 0.882E-09 0.000E+00 0.585E-09 0.444E-11
    46.0 0.176E-09 0.628E-07 0.270E-07 0.461E-09 0.000E+00 0.532E-09 0.265E-11
    47.0 0.405E-09 0.704E-07 0.168E-07 0.232E-09 0.000E+00 0.459E-09 0.155E-11
    48.0 0.846E-09 0.732E-07 0.103E-07 0.948E-10 0.000E+00 0.377E-09 0.886E-12
    49.0 0.161E-08 0.711E-07 0.628E-08 0.000E+00 0.000E+00 0.298E-09 0.496E-12
    50.0 0.280E-08 0.651E-07 0.377E-08 0.000E+00 0.000E+00 0.227E-09 0.248E-12
    51.0 0.445E-08 0.567E-07 0.225E-08 0.000E+00 0.000E+00 0.168E-09 0.136E-13
    52.0 0.652E-08 0.471E-07 0.133E-08 0.000E+00 0.000E+00 0.121E-09 0.000E+00
    53.0 0.880E-08 0.378E-07 0.786E-09 0.000E+00 0.000E+00 0.850E-10 0.000E+00
    54.0 0.110E-07 0.293E-07 0.458E-09 0.000E+00 0.000E+00 0.586E-10 0.000E+00
    55.0 0.128E-07 0.220E-07 0.264E-09 0.000E+00 0.000E+00 0.397E-10 0.000E+00
    56.0 0.139E-07 0.162E-07 0.149E-09 0.000E+00 0.000E+00 0.265E-10 0.000E+00
    57.0 0.143E-07 0.117E-07 0.815E-10 0.726E-11 0.000E+00 0.175E-10 0.000E+00

 Z-Verteilung  
 E*/MeV     Md         No         Lr  
   42.0  0.168E-06 0.229E-07 0.210E-05
   43.0  0.130E-06 0.213E-07 0.152E-05
   44.0  0.107E-06 0.205E-07 0.108E-05
   45.0  0.959E-07 0.197E-07 0.756E-06
   46.0  0.910E-07 0.183E-07 0.534E-06
   47.0  0.883E-07 0.164E-07 0.387E-06
   48.0  0.848E-07 0.142E-07 0.292E-06
   49.0  0.793E-07 0.121E-07 0.231E-06
   50.0  0.719E-07 0.100E-07 0.190E-06
   51.0  0.635E-07 0.831E-08 0.160E-06
   52.0  0.551E-07 0.686E-08 0.135E-06
