E_lab E*/MeV 180Pb 181Pb 182Pb 183Pb 184Pb 185Pb 186Pb
455.767 69.0 0.917E-05 0.615E-04 0.825E-05 0.983E-03 0.360E-03 0.740E-05 0.000E+00
457.767 70.0 0.111E-04 0.489E-04 0.115E-04 0.993E-03 0.271E-03 0.480E-05 0.000E+00
459.767 71.0 0.129E-04 0.384E-04 0.166E-04 0.974E-03 0.202E-03 0.309E-05 0.000E+00
461.767 72.0 0.142E-04 0.296E-04 0.239E-04 0.930E-03 0.149E-03 0.198E-05 0.000E+00
463.767 73.0 0.151E-04 0.226E-04 0.334E-04 0.867E-03 0.888E-04 0.126E-05 0.000E+00
465.767 74.0 0.155E-04 0.171E-04 0.452E-04 0.789E-03 0.521E-04 0.798E-06 0.000E+00
467.767 75.0 0.154E-04 0.127E-04 0.589E-04 0.704E-03 0.320E-04 0.499E-06 0.000E+00
469.767 76.0 0.148E-04 0.943E-05 0.739E-04 0.616E-03 0.202E-04 0.308E-06 0.000E+00
471.767 77.0 0.139E-04 0.695E-05 0.896E-04 0.530E-03 0.130E-04 0.186E-06 0.000E+00
473.767 78.0 0.127E-04 0.511E-05 0.105E-03 0.448E-03 0.864E-05 0.110E-06 0.000E+00
475.767 79.0 0.113E-04 0.380E-05 0.119E-03 0.374E-03 0.640E-05 0.614E-07 0.000E+00
477.767 80.0 0.991E-05 0.292E-05 0.131E-03 0.306E-03 0.442E-05 0.293E-07 0.000E+00


